,STATION,LINENAME,LAT,LON,SYSTEM,NET_ENTRIES,CROWD_INDEX
210,4AV-9 ST,DFGMNR,40.67032,-73.988757,MTA,679020.0,6.389046197705422
211,NASSAU AV,G,40.724608,-73.951271,MTA,678374.0,6.387843859300488
212,MORISN AV/SNDVW,6,40.829495,-73.874559,MTA,668194.0,6.368744101670567
213,46 ST,MR,40.756312,-73.913333,MTA,664511.0,6.361762277759331
214,TWENTY THIRD ST,1,40.742933,-73.992909,PATH,664254.0,6.361273642229359
215,33 ST-RAWSON ST,7,40.744558,-73.930993,MTA,655173.0,6.343885416873227
216,53 ST,R,40.644959,-74.014034,MTA,653984.0,6.34159090486073
217,BEDFORD PK BLVD,BD,40.873026,-73.886919,MTA,653895.0,6.341418986391847
218,KINGSBRIDGE RD,4,40.867899,-73.897326,MTA,652686.0,6.339081278837793
219,BEDFORD PK BLVD,4,40.873399,-73.890084,MTA,650271.0,6.334398672561605
220,HALSEY ST,L,40.695607,-73.904021,MTA,650110.0,6.334085880763391
221,169 ST,F,40.710459,-73.7936,MTA,647723.0,6.329439292513751
222,FLUSHING AV,JM,40.700244,-73.941658,MTA,644005.0,6.322167531371321
223,18 ST,1,40.741096,-73.997877,MTA,643924.0,6.322008642605685
224,JEFFERSON ST,L,40.706636,-73.922925,MTA,640180.0,6.314642553538814
225,NORWOOD 205 ST,D,40.874827,-73.878872,MTA,637451.0,6.309246219200578
226,67 AV,MR,40.726462,-73.85263,MTA,624872.0,6.284070024325157
227,MOSHOLU PKWY,4,40.87963,-73.884666,MTA,623129.0,6.280541583567515
228,116 ST,BC,40.805072,-73.954833,MTA,620406.0,6.275009478546441
229,125 ST,1,40.815596,-73.958395,MTA,616652.0,6.267342828617988
230,WOODLAWN,4,40.885973,-73.878851,MTA,613663.0,6.261205059546585
231,MORGAN AV,L,40.706148,-73.93316,MTA,613498.0,6.260865369754608
232,36 ST,MR,40.75202,-73.92874,MTA,607635.0,6.248735382138948
233,3 AV 138 ST,6,40.810512,-73.926165,MTA,603554.0,6.240222896068174
234,BAY PKWY,D,40.601898,-73.993821,MTA,601304.0,6.235505012147743
235,FRANKLIN AV,ACS,40.681159,-73.956056,MTA,599758.0,6.232253058125825
236,OZONE PK LEFFRT,A,40.685975,-73.824713,MTA,598963.0,6.230577539837346
237,AVENUE U,BQ,40.599307,-73.955916,MTA,594323.0,6.22075382566446
238,AVENUE J,BQ,40.625028,-73.960819,MTA,588626.0,6.20858682170237
239,ROCKAWAY BLVD,A,40.680429,-73.843853,MTA,588481.0,6.208275612696709
240,GUN HILL RD,25,40.877796,-73.866255,MTA,588091.0,6.207438187145133
241,ROOSEVELT ISLND,F,40.759123,-73.953266,MTA,578689.0,6.187079922071187
242,V.CORTLANDT PK,1,40.889185,-73.898549,MTA,575541.0,6.180189536315544
243,PELHAM BAY PARK,6,40.852465,-73.828125,MTA,574833.0,6.1786346653680555
244,BAY PKWY,N,40.612006,-73.982009,MTA,573002.0,6.174604625492103
245,E 180 ST,25,40.841882,-73.873551,MTA,565921.0,6.158897166998207
246,RECTOR ST,NRW,40.707222,-74.013391,MTA,565413.0,6.157762749292659
247,GRAND ST,L,40.711874,-73.94067,MTA,565155.0,6.1571862176895555
248,CANAL ST,1,40.722819,-74.006267,MTA,564105.0,6.154837149774592
249,DYCKMAN ST,1,40.860523,-73.925575,MTA,555424.0,6.135246754145175
250,MONTROSE AV,L,40.707889,-73.940005,MTA,548453.0,6.119292361896574
